"PublisherName"		"AppName"
Ashlar Inc.		Vellum 3D 99
Ashton-Tate (see INPRISE Corporation)		None
Aspect Telecommunications		Aspect Architect
Aspect Telecommunications		Aspect System Management Suite
Aspect Telecommunications		Aspect WinSet
Aspect Telecommunications		CustomView Director
Aspen Technologies (Setpoint)		None
AspenTech Ltd.		Aspen Custom Modeler
AspenTech Ltd.		Aspen Plus
AspenTech Ltd.		Aspen Properties
AspenTech Ltd.		Aspen Split
AspenTech Ltd.		Open Object Model Framework
Aspire Technologies Incorporated		QuoteWerks
Asset Systems Inc.		None
Association of American Medical Colleges		AMCAS-E
Association of Shareware Professionals		None
Associative Computing Inc.		None
Astonsoft		DeepBurner
Astound Inc.		Animation Works Interactive
Asymetrix Corp. (see Asymetrix Learning Systems		None
Asymetrix Learning Systems Inc.		Asymetrix Digital Video Producer
Asymetrix Learning Systems Inc.		Asymetrix Guide to GUI Design
Asymetrix Learning Systems Inc.		Asymetrix Toolbook
Asymetrix Learning Systems Inc.		Compel
Asymetrix Learning Systems Inc.		Daybook+
Asymetrix Learning Systems Inc.		Icon Artist Draw!
Asymetrix Learning Systems Inc.		Multimedia Toolbook
Asymetrix Learning Systems Inc.		Rocky & Bullwinkle Screen Saver Show
Asymetrix Learning Systems Inc.		ScorePlayer
Asymetrix Learning Systems Inc.		Toolbook
Asymetrix Learning Systems Inc.		Toolbook II
Asymetrix Learning Systems Inc.		Toolbook II Publisher
Asymetrix Learning Systems Inc.		WebPublisher
Asystem (see Midisoft Corporation)		None
Atari Inc.		Dragonshard
Atech Software (see Page Technology)		None
Atheros Communications Inc.		Atheros Client Utility
Atlant Software		Screen Shot Maker
Atlantic Coast PLC		Ace File
Atlantic Coast PLC		PC-File
Atlantic Coast PLC		TakeNote
Atlas Business Solutions Inc.		Visual Staff Scheduler PRO
Atmel Corp.		AVRStudio
Atomica Corporation		Atomica
Atomica Corporation		GuruNet
Attachmate Corporation		CrossTalk for Windows
Attachmate Corporation		DCA IrmaLan
Attachmate Corporation		EXTRA! Extended For DOS
Attachmate Corporation		EXTRA! For Netware
Attachmate Corporation		EXTRA! For Windows
Attachmate Corporation		EXTRA! Personal Client
Attachmate Corporation		EXTRA! Personal Client 32-bit
Attachmate Corporation		EXTRA! for Windows
Attachmate Corporation		INFOConnect A Series LAN Access For Windows 32-
Attachmate Corporation		INFOConnect Accessory Manager
Attachmate Corporation		INFOConnect INT1 Transport
Attachmate Corporation		IRMA WorkStation
Attachmate Corporation		KEA!
